ancestry	gene_symbol	source_file	url	expected_size_bytes	sha256	md5	synapse_id	synapse_parent_id	pipeline_batch_id	raw_lifecycle	raw_cleanup_at	raw_cleanup_reason
EUR	AOC3	AOC3_Q16853_OID20389_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51470284				syn51470284	syn51365303				
EUR	AP1G2	AP1G2_O75843_OID31348_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52361914				syn52361914	syn51365303				
EUR	AP2B1	AP2B1_P63010_OID30949_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52362636				syn52362636	syn51365303				
EUR	AP3B1	AP3B1_O00203_OID31478_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52362134				syn52362134	syn51365303				
EUR	AP3S2	AP3S2_P59780_OID31117_v1_Neurology_II.tar	https://www.synapse.org/Synapse:syn52363498	548536320		73f5cb217ef1eaf68233985a9a5ca350	syn52363498	syn51365303				
EUR	APBB1IP	APBB1IP_Q7Z5R6_OID21359_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51470275				syn51470275	syn51365303				
EUR	APCS	APCS_P02743_OID30778_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52361407				syn52361407	syn51365303				
EUR	APEX1	APEX1_P27695_OID21434_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51468408	548771840		8206583242de8c346041f4ba9282d47f	syn51468408	syn51365303				
EUR	APLP1	APLP1_P51693_OID20164_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51468816				syn51468816	syn51365303				
EUR	APOA1	APOA1_P02647_OID30769_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362862	549253120		93edf0408b422bf940fb13adcdfdcb39	syn52362862	syn51365303				
EUR	APOA2	APOA2_P02652_OID30686_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363402	549099520		c2f1388427ffcb284974f3a4dc7adaed	syn52363402	syn51365303				
EUR	APOA4	APOA4_P06727_OID30733_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52361547	548997120		cdf7762ff03632829059216477a5a0a8	syn52361547	syn51365303				
